I'll create a comprehensive buildings and places CSV with various categories, and include the verb "shopping" as well.
<artifact identifier="japanese-buildings-places-csv" type="application/vnd.ant.code" language="csv" title="Japanese Buildings & Places Flashcard CSV">
category,level1,level2,emoji,english,romaji
Noun,Buildings,Shops,🏪,shop,mise
Noun,Buildings,Shops,🏬,store,sutoa
Noun,Buildings,Shops,🛒,supermarket,sūpā
Noun,Buildings,Shops,🏪,convenience store,konbini
Noun,Buildings,Shops,🍞,bakery,panya
Noun,Buildings,Shops,📚,bookstore,honya
Noun,Buildings,Shops,💊,pharmacy,yakkyoku
Noun,Buildings,Shops,🛍️,department store,depāto
Noun,Buildings,Shops,🛒,grocery store,shokuryōhinten
Noun,Buildings,Shops,💐,flower shop,hanaya
Noun,Buildings,Shops,🥩,butcher,nikuya
Noun,Buildings,Shops,🐟,fish market,sakanaya
Noun,Buildings,Shops,🍎,fruit shop,kudamonoya
Noun,Buildings,Shops,👕,clothing store,yōfukuya
Noun,Buildings,Shops,👞,shoe store,kutsuya
Noun,Buildings,Shops,💍,jewelry store,hōsekiten
Noun,Buildings,Shops,📱,electronics store,denkiya
Noun,Buildings,Shops,🪑,furniture store,kaguya
Noun,Buildings,Shops,🎁,gift shop,omiyageya
Noun,Buildings,Shops,🧸,toy store,omocha ya
Noun,Buildings,Shops,📖,stationery store,bunbōguya
Noun,Buildings,Shops,🛠️,hardware store,kanamonoya
Noun,Buildings,Shops,🏬,shopping mall,shoppingu mōru
Noun,Buildings,Shops,🎪,market,ichiba
Noun,Buildings,Shops,🪟,shopping center,shoppingu sentā
Noun,Buildings,Food,🍽️,restaurant,resutoran
Noun,Buildings,Food,☕,cafe,kafe
Noun,Buildings,Food,🍺,bar,bā
Noun,Buildings,Food,🍜,ramen shop,rāmenya
Noun,Buildings,Food,🍣,sushi restaurant,sushiya
Noun,Buildings,Food,🍔,fast food,fasuto fūdo
Noun,Buildings,Food,🍕,pizzeria,pizaya
Noun,Buildings,Food,🥘,izakaya,izakaya
Noun,Buildings,Food,🍵,tea house,ochaya
Noun,Buildings,Food,🍰,cake shop,kēkiya
Noun,Buildings,Food,🍦,ice cream shop,aisukurīmuya
Noun,Buildings,Food,☕,coffee shop,kissaten
Noun,Buildings,Food,🍱,bento shop,bentōya
Noun,Buildings,Food,🏪,food court,fūdo kōto
Noun,Buildings,Food,🥡,takeout,teikuauto
Noun,Buildings,Civic,📚,library,toshokan
Noun,Buildings,Civic,👮,police station,keisatsusho
Noun,Buildings,Civic,🚒,fire station,shōbōsho
Noun,Buildings,Civic,📮,post office,yūbinkyoku
Noun,Buildings,Civic,🏛️,city hall,shiyakusho
Noun,Buildings,Civic,⚖️,court,saibansho
Noun,Buildings,Civic,🏛️,government office,yakusho
Noun,Buildings,Civic,🏛️,town hall,kōkaido
Noun,Buildings,Civic,🆔,ward office,kuyakusho
Noun,Buildings,Civic,🏛️,embassy,taishikan
Noun,Buildings,Civic,🏛️,museum,hakubutsukan
Noun,Buildings,Civic,🎨,art gallery,bijutsukan
Noun,Buildings,Civic,🎭,theater,gekijō
Noun,Buildings,Civic,🎬,cinema,eigakan
Noun,Buildings,Civic,🏞️,zoo,dōbutsuen
Noun,Buildings,Civic,🌺,botanical garden,shokubutsuen
Noun,Buildings,Civic,🏊,swimming pool,pūru
Noun,Buildings,Civic,🏟️,stadium,sutajiamu
Noun,Buildings,Civic,🏛️,community center,kōminkan
Noun,Buildings,Work,🏢,office,jimusho
Noun,Buildings,Work,🏭,factory,kōjō
Noun,Buildings,Work,🏢,company,kaisha
Noun,Buildings,Work,🏗️,construction site,kōji genba
Noun,Buildings,Work,🏢,headquarters,honsha
Noun,Buildings,Work,🏢,branch office,shisha
Noun,Buildings,Work,📞,call center,kōru sentā
Noun,Buildings,Work,🏢,corporate building,bijinessu biru
Noun,Buildings,Work,🏭,warehouse,sōko
Noun,Buildings,Work,🏢,studio,sutajio
Noun,Buildings,Work,🏢,workshop,kōbō
Noun,Buildings,Work,🚜,farm,nōjō
Noun,Buildings,Education,🏫,school,gakkō
Noun,Buildings,Education,🎓,university,daigaku
Noun,Buildings,Education,🏫,high school,kōkō
Noun,Buildings,Education,🏫,junior high,chūgakkō
Noun,Buildings,Education,🏫,elementary school,shōgakkō
Noun,Buildings,Education,👶,kindergarten,yōchien
Noun,Buildings,Education,👶,nursery,hoikuen
Noun,Buildings,Education,📖,cram school,juku
Noun,Buildings,Education,🎓,college,tanki daigaku
